DiagnosisId,Description,SnomedIdentifier,OtherTerms
1,Carcinoma in situ of breast,189336000,
2,Malignant tumour of breast,254837009,
3,Benign tumour of breast,269485000,
4,Malignant tumour of lung,363358000,
5,Malignant tumour of colon,363406005,
6,Malignant tumour of pancreas,363418001,
7,Malignant tumour of heart,363435002,
8,Malignant tumour of ovary,363443007,
9,Malignant neoplasm of skin,372130007,
10,Malignant neoplasm of brain,428061005,
11,Benign neoplasm of bladder,91992005,
12,Benign neoplasm of brain,92030004,
13,Benign neoplasm of colon,92065004,
14,Benign neoplasm of heart,92132009,
15,Benign neoplasm of liver,92186001,
16,Benign neoplasm of lung,92196005,
17,Benign neoplasm of ovary,92260003,
18,Benign neoplasm of pancreas,92264007,
19,Benign neoplasm of prostate,92308005,
20,Benign neoplasm of skin,92384009,
21,Benign neoplasm of testis,92428008,
22,Carcinoma in situ of bladder,92546004,
23,Carcinoma in situ of colon,92568009,
24,Carcinoma in situ of liver,92644006,
25,Carcinoma in situ of lung,92649001,
26,Carcinoma in situ of pancreas,92672004,
27,Carcinoma in situ of prostate,92691004,
28,Carcinoma in situ of testis,92764008,
29,Malignant neoplasm of liver,93870000,
30,Fit and well,102499006,
31,"Mesothelioma (malignant, clinical disorder)",109378008,
32,Transitional cell carcinoma,27090000,
33,"Viral hepatitis, type A",40468003,
34,"Mesothelioma, benign",41183007,
35,Diabetes mellitus type 2,44054006,
36,Diabetes mellitus type 1,46635009,
37,Parkinson's disease,49049000,
38,Viral hepatitis type C,50711007,
39,Dementia (disorder),52448006,
40,Viral hepatitis type B,66071002,
41,"Leukemia, disease",93143009,
42,Arthrofibrosis,7.2781E+13,
43,Benign neoplasm of oesophagus,201618014,
44,Benign neoplasm of uterine cervix,92056006,
45,Carcinoma in situ of oesophagus,201640017,
46,Chronic fatigue syndrome,52702003,
47,Chronic granulomatous disease,387759001,
48,Dystrophy of sensory retina,3.5531E+13,
49,Fibrosis of lung,51615001,
50,Hereditary retinal dystrophy,41799005,
51,Malignant tumor of cervix,363354003,
52,Malignant tumour of oesophagus,482603012,
54,Obstructive sleep apnea syndrome,78275009,
55,Osteoarthritis,396275006,
56,Osteosarcoma of bone,307576001,
57,Renal fibrosis,197660000,
58,Retinal dystrophy due to systemic disorder,4.0121E+13,
59,Retinal pigment epithelial dystrophy,3.42581E+14,
60,Rheumatoid arthritis,69896004,
61,Systemic lupus erythematosus,55464009,
62,Tonsillitis,90176007,
63,Hepatoblastoma (disorder),109843000,
64,Hodgkin's disease (disorder),118599009,
65,Osteoarthritis of knee (disorder),239873007,
66,Astrocytoma of brain (disorder),254938000,
67,Germinoma (morphologic (abnormality),28307001,
68,Rhabdomyosarcoma (disorder),302847003,
